,img_id,obj_id,"(x, y)",color,shape,size
277,46,1,[15 28],"(0, 255, 0)",c,5
278,46,2,[26 51],"(255, 0, 0)",r,5
279,46,3,[36 31],"(0, 156, 255)",r,5
280,46,4,[39 63],"(128, 128, 128)",c,5
281,46,5,[19 67],"(0, 255, 255)",c,5
282,47,0,[30 22],"(0, 0, 255)",c,5
283,47,1,[24 59],"(0, 255, 0)",r,5
284,47,2,[42  5],"(255, 0, 0)",r,5
285,47,3,[66 66],"(0, 156, 255)",c,5
286,47,4,[ 8 21],"(128, 128, 128)",r,5
287,47,5,[58 29],"(0, 255, 255)",c,5
288,48,0,[69 24],"(0, 0, 255)",r,5
289,48,1,[67 58],"(0, 255, 0)",c,5
290,48,2,[9 9],"(255, 0, 0)",r,5
291,48,3,[37 11],"(0, 156, 255)",c,5
292,48,4,[ 7 45],"(128, 128, 128)",r,5
293,48,5,[10 26],"(0, 255, 255)",c,5
294,49,0,[ 8 16],"(0, 0, 255)",r,5
295,49,1,[11 51],"(0, 255, 0)",r,5
296,49,2,[21 68],"(255, 0, 0)",r,5
297,49,3,[45 42],"(0, 156, 255)",r,5
298,49,4,[67 63],"(128, 128, 128)",r,5
299,49,5,[13 62],"(0, 255, 255)",c,5
300,50,0,[29 38],"(0, 0, 255)",c,5
301,50,1,[52 57],"(0, 255, 0)",r,5
302,50,2,[16 41],"(255, 0, 0)",r,5
303,50,3,[11 65],"(0, 156, 255)",c,5
304,50,4,[34 54],"(128, 128, 128)",c,5
305,50,5,[60 11],"(0, 255, 255)",c,5
306,51,0,[45 68],"(0, 0, 255)",c,5
307,51,1,[12 31],"(0, 255, 0)",r,5
308,51,2,[60 36],"(255, 0, 0)",c,5
309,51,3,[59 11],"(0, 156, 255)",c,5
310,51,4,[28 25],"(128, 128, 128)",c,5
311,51,5,[21 12],"(0, 255, 255)",r,5
312,52,0,[20 20],"(0, 0, 255)",r,5
313,52,1,[25 52],"(0, 255, 0)",c,5
314,52,2,[25 63],"(255, 0, 0)",c,5
315,52,3,[14 60],"(0, 156, 255)",r,5
316,52,4,[64 12],"(128, 128, 128)",r,5
317,52,5,[30 14],"(0, 255, 255)",c,5
318,53,0,[15 41],"(0, 0, 255)",r,5
319,53,1,[44 25],"(0, 255, 0)",r,5
320,53,2,[33 45],"(255, 0, 0)",r,5
321,53,3,[10 15],"(0, 156, 255)",r,5
322,53,4,[53 65],"(128, 128, 128)",r,5
323,53,5,[64 38],"(0, 255, 255)",r,5
324,54,0,[26 11],"(0, 0, 255)",r,5
325,54,1,[46 43],"(0, 255, 0)",r,5
326,54,2,[58 17],"(255, 0, 0)",c,5
327,54,3,[65 62],"(0, 156, 255)",r,5
328,54,4,[53 59],"(128, 128, 128)",r,5
329,54,5,[14 27],"(0, 255, 255)",c,5
330,55,0,[38 61],"(0, 0, 255)",r,5
331,55,1,[19 36],"(0, 255, 0)",c,5
332,55,2,[24 47],"(255, 0, 0)",r,5
333,55,3,[36 32],"(0, 156, 255)",r,5
334,55,4,[66 19],"(128, 128, 128)",c,5
335,55,5,[58 45],"(0, 255, 255)",r,5
336,56,0,[48 16],"(0, 0, 255)",c,5
337,56,1,[36 56],"(0, 255, 0)",c,5
338,56,2,[63 20],"(255, 0, 0)",r,5
339,56,3,[30 69],"(0, 156, 255)",r,5
340,56,4,[64  9],"(128, 128, 128)",r,5
341,56,5,[48 67],"(0, 255, 255)",c,5
342,57,0,[ 9 45],"(0, 0, 255)",r,5
343,57,1,[17 23],"(0, 255, 0)",c,5
344,57,2,[59 40],"(255, 0, 0)",c,5
345,57,3,[24 36],"(0, 156, 255)",r,5
346,57,4,[14 34],"(128, 128, 128)",c,5
347,57,5,[37 16],"(0, 255, 255)",c,5
348,58,0,[33 41],"(0, 0, 255)",r,5
349,58,1,[22 26],"(0, 255, 0)",r,5
350,58,2,[15 66],"(255, 0, 0)",c,5
351,58,3,[44 50],"(0, 156, 255)",c,5
352,58,4,[49 24],"(128, 128, 128)",c,5
353,58,5,[68 46],"(0, 255, 255)",r,5
354,59,0,[68 35],"(0, 0, 255)",r,5
355,59,1,[56 16],"(0, 255, 0)",r,5
356,59,2,[58 36],"(255, 0, 0)",r,5
357,59,3,[15 25],"(0, 156, 255)",r,5
358,59,4,[ 5 43],"(128, 128, 128)",c,5
359,59,5,[51 62],"(0, 255, 255)",c,5
360,60,0,[22 51],"(0, 0, 255)",r,5
361,60,1,[42  8],"(0, 255, 0)",r,5
362,60,2,[55 68],"(255, 0, 0)",c,5
363,60,3,[68 65],"(0, 156, 255)",r,5
364,60,4,[57 53],"(128, 128, 128)",r,5
365,60,5,[56 11],"(0, 255, 255)",c,5
366,61,0,[68  6],"(0, 0, 255)",r,5
367,61,1,[29 27],"(0, 255, 0)",r,5
368,61,2,[53 39],"(255, 0, 0)",r,5
369,61,3,[27 44],"(0, 156, 255)",r,5
370,61,4,[23 68],"(128, 128, 128)",c,5
371,61,5,[22 12],"(0, 255, 255)",c,5
372,62,0,[32  7],"(0, 0, 255)",r,5
373,62,1,[55 21],"(0, 255, 0)",c,5
374,62,2,[18 43],"(255, 0, 0)",c,5
375,62,3,[ 5 31],"(0, 156, 255)",c,5
376,62,4,[67 61],"(128, 128, 128)",c,5
377,62,5,[58 44],"(0, 255, 255)",r,5
378,63,0,[23 69],"(0, 0, 255)",r,5
379,63,1,[63 55],"(0, 255, 0)",r,5
380,63,2,[52 55],"(255, 0, 0)",r,5
381,63,3,[ 8 49],"(0, 156, 255)",r,5
382,63,4,[16 57],"(128, 128, 128)",r,5
383,63,5,[61 45],"(0, 255, 255)",r,5
384,64,0,[19 43],"(0, 0, 255)",c,5
385,64,1,[66 10],"(0, 255, 0)",r,5
386,64,2,[52 18],"(255, 0, 0)",c,5
387,64,3,[10 27],"(0, 156, 255)",c,5
388,64,4,[51 37],"(128, 128, 128)",r,5
389,64,5,[8 5],"(0, 255, 255)",c,5
390,65,0,[55 45],"(0, 0, 255)",c,5
391,65,1,[40 56],"(0, 255, 0)",c,5
392,65,2,[20 54],"(255, 0, 0)",c,5
393,65,3,[13 39],"(0, 156, 255)",r,5
394,65,4,[39 43],"(128, 128, 128)",r,5
395,65,5,[ 7 50],"(0, 255, 255)",c,5
396,66,0,[63 22],"(0, 0, 255)",c,5
397,66,1,[38 13],"(0, 255, 0)",r,5
398,66,2,[49 10],"(255, 0, 0)",r,5
399,66,3,[14 46],"(0, 156, 255)",r,5
400,66,4,[55 67],"(128, 128, 128)",r,5
401,66,5,[46 53],"(0, 255, 255)",c,5
402,67,0,[18  6],"(0, 0, 255)",r,5
403,67,1,[37 32],"(0, 255, 0)",r,5
404,67,2,[14 41],"(255, 0, 0)",c,5
405,67,3,[12 59],"(0, 156, 255)",r,5
406,67,4,[63 68],"(128, 128, 128)",c,5
407,67,5,[28 37],"(0, 255, 255)",r,5
408,68,0,[67 22],"(0, 0, 255)",c,5
409,68,1,[10 64],"(0, 255, 0)",r,5
410,68,2,[49 34],"(255, 0, 0)",c,5
411,68,3,[61 61],"(0, 156, 255)",c,5
412,68,4,[24 65],"(128, 128, 128)",c,5
413,68,5,[62 38],"(0, 255, 255)",r,5
414,69,0,[66 37],"(0, 0, 255)",c,5
415,69,1,[65 23],"(0, 255, 0)",c,5
416,69,2,[39 43],"(255, 0, 0)",c,5
417,69,3,[27 20],"(0, 156, 255)",c,5
418,69,4,[28 31],"(128, 128, 128)",c,5
419,69,5,[16 65],"(0, 255, 255)",r,5
420,70,0,[35 66],"(0, 0, 255)",c,5
421,70,1,[49 28],"(0, 255, 0)",c,5
422,70,2,[69 22],"(255, 0, 0)",c,5
423,70,3,[43 42],"(0, 156, 255)",c,5
424,70,4,[18 48],"(128, 128, 128)",r,5
425,70,5,[32 51],"(0, 255, 255)",c,5
426,71,0,[ 9 36],"(0, 0, 255)",r,5
427,71,1,[63 46],"(0, 255, 0)",r,5
428,71,2,[68 59],"(255, 0, 0)",c,5
429,71,3,[44 41],"(0, 156, 255)",c,5
430,71,4,[44 21],"(128, 128, 128)",c,5
431,71,5,[38 51],"(0, 255, 255)",r,5
432,72,0,[30 50],"(0, 0, 255)",r,5
433,72,1,[35 30],"(0, 255, 0)",r,5
434,72,2,[42 11],"(255, 0, 0)",r,5
435,72,3,[36 58],"(0, 156, 255)",c,5
436,72,4,[20 20],"(128, 128, 128)",r,5
437,72,5,[ 6 13],"(0, 255, 255)",r,5
438,73,0,[16 44],"(0, 0, 255)",r,5
439,73,1,[11 31],"(0, 255, 0)",r,5
440,73,2,[69 39],"(255, 0, 0)",c,5
441,73,3,[31 43],"(0, 156, 255)",r,5
442,73,4,[29 10],"(128, 128, 128)",r,5
443,73,5,[60 50],"(0, 255, 255)",r,5
444,74,0,[ 7 29],"(0, 0, 255)",r,5
445,74,1,[52 62],"(0, 255, 0)",r,5
446,74,2,[44 42],"(255, 0, 0)",c,5
447,74,3,[56 14],"(0, 156, 255)",r,5
448,74,4,[42 13],"(128, 128, 128)",c,5
449,74,5,[20 61],"(0, 255, 255)",c,5
450,75,0,[42 27],"(0, 0, 255)",r,5
451,75,1,[23 11],"(0, 255, 0)",r,5
452,75,2,[39 45],"(255, 0, 0)",r,5
453,75,3,[57 29],"(0, 156, 255)",c,5
454,75,4,[54 11],"(128, 128, 128)",r,5
455,75,5,[37 17],"(0, 255, 255)",c,5
456,76,0,[63 37],"(0, 0, 255)",c,5
457,76,1,[53 50],"(0, 255, 0)",c,5
458,76,2,[31 20],"(255, 0, 0)",r,5
459,76,3,[64 61],"(0, 156, 255)",r,5
460,76,4,[35 32],"(128, 128, 128)",r,5
461,76,5,[25 53],"(0, 255, 255)",r,5
462,77,0,[43 27],"(0, 0, 255)",c,5
463,77,1,[69 66],"(0, 255, 0)",r,5
464,77,2,[12 20],"(255, 0, 0)",r,5
465,77,3,[30 67],"(0, 156, 255)",c,5
466,77,4,[32 23],"(128, 128, 128)",r,5
467,77,5,[41  5],"(0, 255, 255)",r,5
468,78,0,[17 28],"(0, 0, 255)",r,5
469,78,1,[14 51],"(0, 255, 0)",c,5
470,78,2,[ 8 38],"(255, 0, 0)",c,5
471,78,3,[25 62],"(0, 156, 255)",c,5
472,78,4,[ 6 66],"(128, 128, 128)",c,5
473,78,5,[55 21],"(0, 255, 255)",r,5
474,79,0,[ 6 26],"(0, 0, 255)",c,5
475,79,1,[62 27],"(0, 255, 0)",c,5
476,79,2,[21 42],"(255, 0, 0)",c,5
477,79,3,[65  5],"(0, 156, 255)",r,5
478,79,4,[42 12],"(128, 128, 128)",c,5
479,79,5,[17 55],"(0, 255, 255)",r,5
480,80,0,[20 68],"(0, 0, 255)",r,5
481,80,1,[13  7],"(0, 255, 0)",c,5
482,80,2,[47 22],"(255, 0, 0)",r,5
483,80,3,[20 55],"(0, 156, 255)",r,5
484,80,4,[30 68],"(128, 128, 128)",c,5
485,80,5,[56 59],"(0, 255, 255)",c,5
486,81,0,[32 49],"(0, 0, 255)",r,5
487,81,1,[63  9],"(0, 255, 0)",r,5
488,81,2,[16 41],"(255, 0, 0)",c,5
489,81,3,[26 14],"(0, 156, 255)",c,5
490,81,4,[50 33],"(128, 128, 128)",c,5
491,81,5,[44  7],"(0, 255, 255)",c,5
492,82,0,[52 55],"(0, 0, 255)",r,5
493,82,1,[23 41],"(0, 255, 0)",c,5
494,82,2,[61  9],"(255, 0, 0)",r,5
495,82,3,[52 43],"(0, 156, 255)",r,5
496,82,4,[23 54],"(128, 128, 128)",c,5
497,82,5,[68 59],"(0, 255, 255)",c,5
498,83,0,[47 46],"(0, 0, 255)",c,5
499,83,1,[25 21],"(0, 255, 0)",c,5
500,83,2,[ 5 44],"(255, 0, 0)",r,5
501,83,3,[40 26],"(0, 156, 255)",c,5
502,83,4,[56 69],"(128, 128, 128)",r,5
503,83,5,[ 8 13],"(0, 255, 255)",c,5
504,84,0,[64  6],"(0, 0, 255)",r,5
505,84,1,[14 66],"(0, 255, 0)",c,5
506,84,2,[29 42],"(255, 0, 0)",r,5
507,84,3,[62 23],"(0, 156, 255)",c,5
508,84,4,[50 67],"(128, 128, 128)",r,5
509,84,5,[41 41],"(0, 255, 255)",r,5
510,85,0,[49 52],"(0, 0, 255)",r,5
511,85,1,[25  7],"(0, 255, 0)",r,5
512,85,2,[51 41],"(255, 0, 0)",r,5
513,85,3,[50 19],"(0, 156, 255)",c,5
514,85,4,[29 35],"(128, 128, 128)",c,5
515,85,5,[16 55],"(0, 255, 255)",c,5
516,86,0,[67 53],"(0, 0, 255)",r,5
517,86,1,[40 17],"(0, 255, 0)",r,5
518,86,2,[36  7],"(255, 0, 0)",c,5
519,86,3,[30 29],"(0, 156, 255)",c,5
520,86,4,[57 41],"(128, 128, 128)",r,5
521,86,5,[ 6 56],"(0, 255, 255)",r,5
522,87,0,[67 46],"(0, 0, 255)",c,5
523,87,1,[47 59],"(0, 255, 0)",r,5
524,87,2,[57 35],"(255, 0, 0)",c,5
525,87,3,[33 28],"(0, 156, 255)",r,5
526,87,4,[14 13],"(128, 128, 128)",c,5
527,87,5,[25 12],"(0, 255, 255)",c,5
528,88,0,[22 68],"(0, 0, 255)",c,5
529,88,1,[44 66],"(0, 255, 0)",c,5
530,88,2,[61 54],"(255, 0, 0)",c,5
531,88,3,[47 48],"(0, 156, 255)",c,5
532,88,4,[63 26],"(128, 128, 128)",c,5
